,weather_main
0,clear
1,clear
2,clear
3,clear
4,clouds
5,rain
6,rain
7,clouds
8,clouds
9,clear
10,clouds
11,clear
12,clear
13,clear
14,clouds
15,clear
16,clouds
17,clear
18,clouds
19,rain
20,clear
21,clear
22,clear
23,clouds
24,clear
25,clouds
26,clear
27,clouds
28,rain
29,rain
30,clouds
31,clouds
32,clear
33,clear
34,clear
35,clear
36,clear
37,rain
38,clouds
39,clouds
40,clouds
41,clear
42,clouds
43,clouds
44,clear
45,clear
46,clear
47,clear
48,clouds
49,clear
50,clear
51,clear
52,clear
53,clouds
54,rain
55,clouds
56,clear
57,clear
58,clouds
59,clouds
60,rain
61,clouds
62,clear
63,clouds
64,clouds
65,clouds
66,rain
67,clear
68,clouds
69,clear
70,rain
71,rain
72,clouds
73,clouds
74,clear
75,clouds
76,clear
77,clear
78,clear
79,rain
80,clear
81,rain
82,clear
83,rain
84,rain
85,clouds
86,clear
87,clear
88,clouds
89,clouds
90,clear
91,clear
92,clear
93,clear
94,clear
95,clear
96,clear
97,clouds
98,clear
99,clouds
100,clear
101,clouds
102,rain
103,clear
104,clouds
105,clear
106,clear
107,clear
108,rain
109,clear
110,rain
111,clear
112,clouds
113,clear
114,clear
115,clear
116,clear
117,clouds
118,rain
119,clouds
120,clouds
121,clouds
122,clear
123,clear
124,clouds
125,clear
126,clouds
127,clouds
128,clear
129,clear
130,rain
131,clear
132,rain
133,rain
134,clouds
135,clear
136,clear
137,clear
138,clear
139,clear
140,clouds
141,clouds
142,clouds
143,clear
144,clear
145,clear
146,clear
147,clouds
148,rain
149,rain
150,clear
151,clear
152,clear
153,rain
154,clouds
155,clear
156,clear
157,clouds
158,clouds
159,clouds
160,clouds
161,clear
162,clouds
163,clouds
164,clear
165,clear
166,clear
167,clear
168,rain
169,clouds
170,clear
171,clear
172,rain
173,clouds
174,clouds
175,clear
176,clear
177,clear
178,clear
179,clouds
180,clear
181,clear
182,clouds
183,clear
184,clouds
185,rain
186,clear
187,clouds
188,clear
189,clear
190,clear
191,clear
192,clouds
193,rain
194,clouds
195,clouds
196,clear
197,rain
198,rain
199,clear
200,clear
201,clouds
202,clear
203,clear
204,clear
205,clear
206,clear
207,clear
208,clear
209,clear
210,clear
211,clear
212,clouds
213,clear
214,clouds
215,clear
216,clouds
217,rain
218,clear
219,clear
220,clear
221,clear
222,clear
223,clouds
224,clear
225,clouds
226,clear
227,clear
228,clouds
229,clouds
230,clear
231,clear
232,clouds
233,clear
234,clouds
235,clear
236,clouds
237,clouds
238,clear
239,clear
240,clear
241,rain
242,clouds
243,clouds
244,clouds
245,clear
246,clear
247,clouds
248,clear
249,rain
250,clear
251,clear
252,clear
253,clear
254,clear
255,clouds
256,clouds
257,clouds
258,clear
259,clouds
260,clear
261,clear
262,clear
263,clouds
264,clouds
265,clouds
266,clouds
267,clouds
268,clear
269,clouds
270,clear
271,clouds
272,clear
273,clear
274,clear
275,rain
276,clouds
277,clear
278,clear
279,clear
280,clouds
281,clouds
282,rain
283,clear
284,clouds
285,clear
286,clouds
287,clear
288,rain
289,clear
290,clouds
291,clear
292,clouds
293,rain
294,clear
295,clear
296,clouds
297,clear
298,clouds
299,clear
300,clouds
301,clear
302,clear
303,clear
304,clear
305,clear
306,clouds
307,clear
308,clear
309,clear
310,rain
311,clouds
312,clear
313,rain
314,clouds
315,clear
316,clear
317,clear
318,clear
319,clear
320,clouds
321,clear
322,clear
323,clouds
324,clouds
325,clouds
326,clouds
327,clear
328,clear
329,clouds
330,clear
331,clear
332,clouds
333,clear
334,clear
335,clouds
336,clouds
337,clouds
338,clear
339,clear
340,clear
341,rain
342,clear
343,clouds
344,clear
345,clouds
346,clouds
347,clouds
348,clouds
349,clear
350,clear
351,rain
352,clear
353,clouds
354,clear
355,clear
356,clear
357,clear
358,rain
359,clouds
360,clouds
361,clear
362,clear
363,clouds
364,clear
365,clouds
366,clouds
367,clouds
368,rain
369,clouds
370,clouds
371,rain
372,clouds
373,clear
374,rain
375,clouds
376,clouds
377,rain
378,clear
379,rain
380,clouds
381,clouds
382,clouds
383,clouds
384,clear
385,clouds
386,rain
387,clouds
388,clouds
389,clear
390,clouds
391,clouds
392,rain
393,clear
394,rain
395,clear
396,clear
397,rain
398,rain
399,clouds
400,rain
401,clear
402,rain
403,clouds
404,rain
405,clear
406,rain
407,rain
408,clear
409,clear
410,rain
411,clouds
412,clear
413,clear
414,clouds
415,clear
416,clouds
417,clouds
418,clear
419,clouds
420,rain
421,clouds
422,clouds
423,clouds
424,clear
425,rain
426,clouds
427,clear
428,clouds
429,clear
430,clear
431,clear
432,clouds
433,clouds
434,clouds
435,clouds
436,clear
437,clouds
438,clouds
439,clear
440,clear
441,clouds
442,rain
443,clouds
444,clear
445,clouds
446,clear
447,clear
448,clear
449,clear
450,clouds
451,clear
452,clear
453,clouds
454,clouds
455,clear
456,clouds
457,clouds
458,clouds
459,clouds
460,rain
461,rain
462,clear
463,clouds
464,clouds
465,clouds
466,clear
467,clouds
468,clear
469,clear
470,clouds
471,clouds
472,clouds
473,clear
474,clear
475,clear
476,clouds
477,clear
478,clouds
479,clouds
480,clear
481,clear
482,clouds
483,clear
484,clear
485,clear
486,clouds
487,clouds
488,clear
489,clouds
490,clear
491,clear
492,rain
493,rain
494,clouds
495,clouds
496,clear
497,clear
498,clouds
499,clouds
500,rain
501,clouds
502,clouds
503,clear
504,clear
505,clouds
506,rain
507,rain
508,clouds
509,clouds
510,clear
511,clouds
512,clear
513,clouds
514,clear
515,clear
516,clouds
517,clear
518,clear
519,clear
520,clear
521,clear
522,clear
523,clear
524,clouds
525,clear
526,clear
527,clear
528,rain
529,clear
530,clear
531,clouds
532,clear
533,clear
534,clear
535,rain
536,clear
537,clouds
538,clear
539,rain
540,clear
541,clear
542,clouds
543,clouds
544,clouds
545,clear
546,rain
547,clouds
548,clouds
549,clear
550,clouds
551,clouds
552,clear
553,clear
554,clear
555,clear
556,clear
557,clear
558,clear
559,clear
560,clear
561,rain
562,clouds
563,clouds
564,clouds
565,clear
566,rain
567,clouds
568,clear
569,clouds
570,clouds
571,clear
572,rain
573,clouds
574,clouds
575,clouds
576,clear
577,clouds
578,clouds
579,clouds
580,clear
581,rain
582,clear
583,clouds
584,clear
585,clouds
586,clear
587,clear
588,rain
589,clouds
590,clouds
591,clear
592,clear
593,rain
594,clouds
595,clear
596,clear
597,clear
598,clear
599,clear
600,clouds
601,clear
602,clouds
603,clear
604,clouds
605,clouds
606,clear
607,clouds
608,clouds
609,clear
610,clear
611,clear
612,clear
613,clouds
614,clear
615,clear
616,clouds
617,clear
618,clouds
619,clear
620,clear
621,clouds
622,clouds
623,clear
624,clouds
625,rain
626,clouds
627,clear
628,clouds
629,clear
630,clouds
631,clouds
632,clear
633,clear
634,clouds
635,clouds
636,clear
637,clear
638,clear
639,clouds
640,clouds
641,clouds
642,clear
643,rain
644,clear
645,clouds
646,clouds
647,clouds
648,clear
649,clouds
650,clear
651,clear
652,clear
653,clear
654,clear
655,clear
656,clear
657,clear
658,clear
659,clouds
660,clouds
661,clear
662,clear
663,clear
664,clouds
665,clear
666,rain
667,clouds
668,clear
669,clear
670,clouds
671,clouds
672,rain
673,clear
674,clear
675,clear
676,clear
677,clouds
678,clouds
679,clear
680,rain
681,clear
682,clear
683,clouds
684,rain
685,rain
686,clouds
687,clouds
688,clouds
689,clear
690,clouds
691,clear
692,rain
693,clouds
694,clouds
695,clouds
696,clear
697,clear
698,clear
699,clouds
700,clouds
701,rain
702,clouds
703,rain
704,clear
705,clear
706,clouds
707,clouds
708,clear
709,clouds
710,clouds
711,clear
712,clouds
713,clear
714,clouds
715,clouds
716,clear
717,clear
718,clouds
719,clear
720,clouds
721,clouds
722,clear
723,clouds
724,clear
725,clouds
726,clear
727,clear
728,clear
729,clear
730,clear
731,clouds
732,clear
733,rain
734,clear
735,rain
736,clear
737,clear
738,clear
739,clouds
740,clouds
741,clouds
742,clouds
743,clear
744,clouds
745,rain
746,rain
747,clear
748,clouds
749,rain
750,clear
751,clear
752,clouds
753,clear
754,rain
755,clouds
756,clear
757,clouds
758,rain
759,clouds
760,clouds
761,rain
762,clouds
763,clouds
764,clear
765,clouds
766,clouds
767,clouds
768,clouds
769,clouds
770,clouds
771,clear
772,clouds
773,clear
774,clear
775,clouds
776,clear
777,rain
778,clear
779,clear
780,clear
781,clouds
782,clear
783,clouds
784,clouds
785,clouds
786,clouds
787,clear
788,clouds
789,clear
790,clouds
791,clouds
792,clouds
793,clouds
794,clear
795,clouds
796,clear
797,clouds
798,clouds
799,clouds
800,clear
801,clear
802,clear
803,clear
804,clouds
805,clouds
806,clouds
807,clouds
808,clouds
809,clear
810,clear
811,clouds
812,clear
813,rain
814,clear
815,clear
816,clouds
817,clouds
818,clear
819,rain
820,clear
821,clear
822,clear
823,clear
824,clouds
825,clear
826,clouds
827,rain
828,clear
829,clear
830,clouds
831,clouds
832,clouds
833,clear
834,clear
835,clouds
836,clear
837,clear
838,clear
839,clear
840,clouds
841,clear
842,clear
843,clouds
844,clear
845,clear
846,clouds
847,clear
848,rain
849,clear
850,clouds
851,rain
852,clear
853,rain
854,clear
855,clear
